State,LGA,LGA_Name,Medication_Type,FY24,FY23,FY22,FY21, ERP , FY24 All , FY23 All , FY22 All , FY21 All , FY24 change ,FY23 Change,FY22 Change, SA2_Code ,SA2_Name,SA3_Code,SA3_Name,SA4_name,GCCSA_NAME_2021
SA,40120,Adelaide Plains,Cardiovascular system,4.06,4.05,3.97,4.26,"10,456","42,451","42,347","41,510","44,543",105,836,"3,032",40102100301,Adelaide Hills,40102,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
SA,40120,Adelaide Plains,Nervous system,2.86,2.69,2.69,2.89,"10,456","29,904","28,127","28,127","30,218","1,778",0,"2,091",40102100301,Adelaide Hills,40102,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
SA,40120,Adelaide Plains,Alimentary tract and metabolism,1.97,1.83,1.8,1.87,"10,456","20,598","19,134","18,821","19,553","1,464",314,732,40102100301,Adelaide Hills,40102,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
SA,40120,Adelaide Plains,Antiinfectives for systemic use,0.85,0.81,0.71,0.75,"10,456","8,888","8,469","7,424","7,842",418,"1,046",418,40102100301,Adelaide Hills,40102,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
SA,40120,Adelaide Plains,Respiratory system,0.66,0.65,0.65,0.73,"10,456","6,901","6,796","6,796","7,633",105,0,836,40102100301,Adelaide Hills,40102,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
SA,40120,Adelaide Plains,Blood and blood forming organs,0.47,0.46,0.42,0.47,"10,456","4,914","4,810","4,392","4,914",105,418,523,40102100301,Adelaide Hills,40102,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
SA,40120,Adelaide Plains,Musculo-skeletal system,0.47,0.46,0.46,0.51,"10,456","4,914","4,810","4,810","5,333",105,0,523,40102100301,Adelaide Hills,40102,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
SA,40120,Adelaide Plains,Genito urinary system and sex hormones,0.36,0.36,0.35,0.35,"10,456","3,764","3,764","3,660","3,660",0,105,0,40102100301,Adelaide Hills,40102,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
SA,40120,Adelaide Plains,Antineoplastic and immunomodulating agents,0.25,0.24,0.24,0.24,"10,456","2,614","2,509","2,509","2,509",105,0,0,40102100301,Adelaide Hills,40102,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
SA,40120,Adelaide Plains,"Systemic hormonal preparations, excl. sex hormones and insulins",0.24,0.24,0.23,0.26,"10,456","2,509","2,509","2,405","2,719",0,105,314,40102100301,Adelaide Hills,40102,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
SA,40120,Adelaide Plains,Sensory organs,0.23,0.21,0.22,0.21,"10,456","2,405","2,196","2,300","2,196",209,105,105,40102100301,Adelaide Hills,40102,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
SA,40120,Adelaide Plains,Dermatologicals,0.13,0.12,0.12,0.17,"10,456","1,359","1,255","1,255","1,778",105,0,523,40102100301,Adelaide Hills,40102,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
NSW,10110,Armidale,Cardiovascular system,4.28,4.49,4.33,4.21,"29,360","125,661","131,826","127,129","123,606","6,166","4,698","3,523",10802115628,Kempsey Surrounds,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
NSW,10110,Armidale,Nervous system,3,2.94,2.97,2.91,"29,360","88,080","86,318","87,199","85,438","1,762",881,"1,762",10802115628,Kempsey Surrounds,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
NSW,10110,Armidale,Alimentary tract and metabolism,1.92,1.9,1.86,1.81,"29,360","56,371","55,784","54,610","53,142",587,"1,174","1,468",10802115628,Kempsey Surrounds,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
NSW,10110,Armidale,Antiinfectives for systemic use,0.79,0.8,0.7,0.73,"29,360","23,194","23,488","20,552","21,433",294,"2,936",881,10802115628,Kempsey Surrounds,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
NSW,10110,Armidale,Respiratory system,0.59,0.63,0.65,0.61,"29,360","17,322","18,497","19,084","17,910","1,174",587,"1,174",10802115628,Kempsey Surrounds,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
NSW,10110,Armidale,Blood and blood forming organs,0.54,0.56,0.55,0.5,"29,360","15,854","16,442","16,148","14,680",587,294,"1,468",10802115628,Kempsey Surrounds,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
